1789	19
1790	15
1791	15
1792	8
1793	17
1794	9
1795	8
1796	20
1797	14
1798	15
1799	22
1800	15
1801	14
1802	21
1803	22
1804	21
1805	23
1806	28
1807	28
1808	43
1809	23
1810	38
1811	22
1812	51
1813	40
1814	53
1815	53
1816	33
1817	33
1818	28
1819	92
1820	39
1821	30
1822	42
1823	49
1824	74
1825	64
1826	55
1827	37
1828	76
1829	50
1830	121
1831	58
1832	164
1833	69
1834	258
1835	83
1836	112
1837	319
1838	92
1839	68
1840	97
1841	126
1842	82
1843	62
1844	96
1845	148
1846	119
1847	112
1848	209
1849	110
1850	254
1851	194
1852	264
1853	259
1854	350
1855	214
1856	526
1857	278
1858	298
1859	271
1860	327
1861	490
1862	433
1863	398
1864	438
1865	396
1866	452
1867	406
1868	499
1869	499
1870	500
1871	558
1872	747
1873	662
1874	678
1875	492
1876	581
1877	609
1878	538
1879	639
1880	674
1881	622
1882	775
1883	860
1884	834
1885	975
1886	1161
1887	868
1888	967
1889	1035
1890	960
1891	1063
1892	1568
1893	2324
1894	3253
1895	1922
1896	1549
1897	1364
1898	1650
1899	1942
1900	2119
1901	3028
1902	2522
1903	1978
1904	1965
1905	2289
1906	2703
1907	2694
1908	2554
1909	3330
1910	2975
1911	3516
1912	3419
1913	4311
1914	3571
1915	3462
1916	4188
1917	4576
1918	4365
1919	4669
1920	3967
1921	3382
1922	4305
1923	2647
1924	2646
1925	2761
1926	2677
1927	2936
1928	2853
1929	5259
1930	3255
1931	3531
1932	3311
1933	3677
1934	4000
1935	4575
1936	3549
1937	4259
1938	4688
1939	4981
1940	5333
1941	6148
1942	5220
1943	4402
1944	4468
1945	4871
1946	5604
1947	6823
1948	6780
1949	8398
1950	7043
1951	6938
1952	8126
1953	7303
1954	7725
1955	8023
1956	8030
1957	8392
1958	9033
1959	10328
1960	11537
1961	11993
1962	12511
1963	13445
1964	14858
1965	14451
1966	14403
1967	14249
1968	15324
1969	15410
1970	15712
1971	17270
1972	19155
1973	19043
1974	20121
1975	22917
1976	27738
1977	28076
1978	28027
1979	28086
1980	28897
1981	26832
1982	21660
1983	22319
1984	23435
1985	21681
1986	21638
1987	20823
1988	20717
1989	21518
1990	21669
1991	19347
1992	19945
1993	18722
1994	17368
1995	18856
1996	17023
1997	16599
1998	16056
1999	26722
2000	13869
2001	10557
2002	10444
2003	10227
2004	9418
2005	7285
2006	6728
2007	6841
2008	5412
2009	6256
2010	4304
2011	2651
2012	1944
2013	1379
2014	822
2015	305
2016	211
