1789	19
1790	15
1791	15
1792	8
1793	17
1794	9
1795	8
1796	20
1797	14
1798	15
1799	22
1800	15
1801	14
1802	21
1803	22
1804	21
1805	23
1806	28
1807	28
1808	43
1809	23
1810	38
1811	22
1812	51
1813	40
1814	53
1815	53
1816	33
1817	33
1818	28
1819	92
1820	39
1821	30
1822	42
1823	49
1824	74
1825	64
1826	55
1827	37
1828	76
1829	50
1830	121
1831	58
1832	164
1833	69
1834	258
1835	83
1836	112
1837	319
1838	92
1839	68
1840	96
1841	126
1842	82
1843	62
1844	96
1845	148
1846	119
1847	111
1848	209
1849	109
1850	254
1851	193
1852	262
1853	258
1854	349
1855	212
1856	525
1857	277
1858	297
1859	268
1860	327
1861	488
1862	432
1863	396
1864	433
1865	395
1866	451
1867	405
1868	499
1869	498
1870	500
1871	558
1872	745
1873	661
1874	676
1875	491
1876	579
1877	608
1878	534
1879	637
1880	671
1881	618
1882	771
1883	858
1884	832
1885	973
1886	1159
1887	867
1888	959
1889	1032
1890	958
1891	1061
1892	1568
1893	2323
1894	3252
1895	1921
1896	1548
1897	1359
1898	1644
1899	1939
1900	2117
1901	3018
1902	2506
1903	1974
1904	1963
1905	2284
1906	2702
1907	2691
1908	2553
1909	3327
1910	2972
1911	3524
1912	3418
1913	4306
1914	3570
1915	3456
1916	4182
1917	4573
1918	4361
1919	4665
1920	3962
1921	3381
1922	4306
1923	2644
1924	2633
1925	2757
1926	2671
1927	2920
1928	2845
1929	5248
1930	3242
1931	3518
1932	3303
1933	3652
1934	3964
1935	4556
1936	3539
1937	4238
1938	4656
1939	4956
1940	5304
1941	6118
1942	5203
1943	4390
1944	4451
1945	4852
1946	5583
1947	6789
1948	6746
1949	8346
1950	7021
1951	6910
1952	8091
1953	7283
1954	7704
1955	8010
1956	7944
1957	8372
1958	9015
1959	10311
1960	11500
1961	11973
1962	12484
1963	13403
1964	14815
1965	14418
1966	14356
1967	14221
1968	15286
1969	15360
1970	15666
1971	17235
1972	19110
1973	19008
1974	20066
1975	22875
1976	27623
1977	28018
1978	27998
1979	28049
1980	28850
1981	26807
1982	21627
1983	22288
1984	23406
1985	21652
1986	21621
1987	20792
1988	20692
1989	21497
1990	21650
1991	19306
1992	19924
1993	18700
1994	17338
1995	18838
1996	17021
1997	16588
1998	16046
1999	26692
2000	13860
2001	10548
2002	10438
2003	10220
2004	9405
2005	7284
2006	6721
2007	6836
2008	5409
2009	6247
2010	4302
2011	2648
2012	1941
2013	1378
2014	821
2015	301
2016	209
