1789	19
1790	15
1791	15
1792	8
1793	17
1794	9
1795	8
1796	20
1797	14
1798	15
1799	22
1800	15
1801	14
1802	22
1803	22
1804	21
1805	23
1806	28
1807	28
1808	43
1809	23
1810	46
1811	22
1812	51
1813	40
1814	53
1815	54
1816	33
1817	33
1818	28
1819	92
1820	39
1821	30
1822	43
1823	49
1824	74
1825	64
1826	56
1827	37
1828	76
1829	52
1830	132
1831	59
1832	165
1833	69
1834	258
1835	84
1836	114
1837	320
1838	94
1839	68
1840	116
1841	127
1842	85
1843	63
1844	96
1845	149
1846	122
1847	113
1848	214
1849	115
1850	257
1851	198
1852	267
1853	264
1854	354
1855	222
1856	533
1857	284
1858	306
1859	279
1860	336
1861	494
1862	447
1863	404
1864	451
1865	404
1866	468
1867	415
1868	517
1869	510
1870	525
1871	576
1872	760
1873	675
1874	690
1875	501
1876	606
1877	624
1878	550
1879	658
1880	686
1881	635
1882	788
1883	877
1884	852
1885	993
1886	1180
1887	892
1888	989
1889	1065
1890	992
1891	1087
1892	1787
1893	2512
1894	3401
1895	2016
1896	1572
1897	1395
1898	1741
1899	1971
1900	2194
1901	3111
1902	2573
1903	2020
1904	2024
1905	2335
1906	2754
1907	2786
1908	2617
1909	3372
1910	3034
1911	3579
1912	3502
1913	4407
1914	3653
1915	3530
1916	4286
1917	4657
1918	4434
1919	4762
1920	4048
1921	3449
1922	4410
1923	2724
1924	2723
1925	2825
1926	2757
1927	3019
1928	2971
1929	5357
1930	3362
1931	3665
1932	3441
1933	3808
1934	4127
1935	4738
1936	3691
1937	4447
1938	4840
1939	5199
1940	5652
1941	6399
1942	5449
1943	4596
1944	4723
1945	5088
1946	5863
1947	7129
1948	7036
1949	8675
1950	7346
1951	7210
1952	8385
1953	7556
1954	7994
1955	8316
1956	8461
1957	8770
1958	9452
1959	10838
1960	12010
1961	12484
1962	12892
1963	13807
1964	15118
1965	14715
1966	14690
1967	14538
1968	15642
1969	15703
1970	15972
1971	17535
1972	19407
1973	19331
1974	20413
1975	23245
1976	28111
1977	28437
1978	28390
1979	28455
1980	29183
1981	27197
1982	21931
1983	22544
1984	23633
1985	21824
1986	21759
1987	20965
1988	20833
1989	21667
1990	21926
1991	19547
1992	20169
1993	18905
1994	17486
1995	19004
1996	17220
1997	16761
1998	16293
1999	26895
2000	13972
2001	10640
2002	10498
2003	10318
2004	9524
2005	7342
2006	6791
2007	6909
2008	5460
2009	6306
2010	4349
2011	2705
2012	1989
2013	1427
2014	823
2015	309
2016	216
