1789	37
1790	16
1791	14
1792	7
1793	16
1794	8
1795	7
1796	20
1797	13
1798	14
1799	22
1800	14
1801	13
1802	21
1803	21
1804	20
1805	24
1806	27
1807	27
1808	44
1809	22
1810	45
1811	21
1812	50
1813	40
1814	48
1815	54
1816	32
1817	32
1818	27
1819	92
1820	38
1821	30
1822	42
1823	48
1824	111
1825	64
1826	55
1827	37
1828	74
1829	50
1830	132
1831	60
1832	68
1833	67
1834	214
1835	83
1836	115
1837	328
1838	95
1839	69
1840	100
1841	111
1842	85
1843	63
1844	95
1845	151
1846	124
1847	112
1848	220
1849	115
1850	270
1851	192
1852	284
1853	273
1854	384
1855	230
1856	546
1857	282
1858	301
1859	290
1860	330
1861	602
1862	465
1863	415
1864	483
1865	433
1866	472
1867	407
1868	512
1869	451
1870	514
1871	585
1872	771
1873	678
1874	691
1875	494
1876	606
1877	633
1878	561
1879	680
1880	702
1881	641
1882	803
1883	897
1884	868
1885	1013
1886	1197
1887	914
1888	1005
1889	1074
1890	1013
1891	1097
1892	1803
1893	2531
1894	3414
1895	2020
1896	1587
1897	1434
1898	1768
1899	2006
1900	2219
1901	3217
1902	2634
1903	2072
1904	2070
1905	2370
1906	2802
1907	2824
1908	2659
1909	3411
1910	3079
1911	3636
1912	3578
1913	4468
1914	3749
1915	3669
1916	4381
1917	4736
1918	4505
1919	4844
1920	4122
1921	3523
1922	4484
1923	2784
1924	2838
1925	2892
1926	2807
1927	3061
1928	3044
1929	5481
1930	3430
1931	3727
1932	3485
1933	3865
1934	4194
1935	4848
1936	3806
1937	4635
1938	4961
1939	5294
1940	5820
1941	6587
1942	5599
1943	4719
1944	4864
1945	5271
1946	6025
1947	7357
1948	6607
1949	8929
1950	7531
1951	7436
1952	8690
1953	7900
1954	8326
1955	8676
1956	8838
1957	9227
1958	9956
1959	11120
1960	12458
1961	12834
1962	13266
1963	14159
1964	15410
1965	15063
1966	15105
1967	14841
1968	16070
1969	16174
1970	16484
1971	17787
1972	19744
1973	19781
1974	20649
1975	23561
1976	28698
1977	28873
1978	28711
1979	29018
1980	29550
1981	27591
1982	22163
1983	22754
1984	24188
1985	22118
1986	21954
1987	21150
1988	21093
1989	22234
1990	22415
1991	20055
1992	20578
1993	19233
1994	18010
1995	19283
1996	17459
1997	16966
1998	16487
1999	27107
2000	14248
2001	10751
2002	10696
2003	10475
2004	9704
2005	7415
2006	6842
2007	6961
2008	5504
2009	6357
2010	4401
2011	2739
2012	2033
2013	1523
2014	878
2015	330
2016	236
