1789	19
1790	15
1791	15
1792	8
1793	17
1794	9
1795	8
1796	20
1797	14
1798	15
1799	22
1800	15
1801	14
1802	21
1803	22
1804	21
1805	23
1806	28
1807	28
1808	43
1809	23
1810	38
1811	22
1812	51
1813	40
1814	53
1815	53
1816	33
1817	33
1818	28
1819	92
1820	39
1821	30
1822	42
1823	49
1824	74
1825	64
1826	55
1827	37
1828	76
1829	51
1830	121
1831	58
1832	164
1833	69
1834	258
1835	83
1836	113
1837	320
1838	94
1839	68
1840	115
1841	126
1842	82
1843	62
1844	96
1845	149
1846	119
1847	112
1848	212
1849	111
1850	257
1851	197
1852	266
1853	263
1854	355
1855	219
1856	533
1857	282
1858	305
1859	276
1860	331
1861	493
1862	443
1863	401
1864	447
1865	401
1866	461
1867	411
1868	515
1869	508
1870	521
1871	567
1872	753
1873	671
1874	685
1875	500
1876	601
1877	620
1878	546
1879	649
1880	682
1881	630
1882	781
1883	871
1884	844
1885	988
1886	1176
1887	879
1888	977
1889	1050
1890	979
1891	1075
1892	1583
1893	2352
1894	3276
1895	1937
1896	1563
1897	1380
1898	1728
1899	1961
1900	2177
1901	3052
1902	2551
1903	2006
1904	2011
1905	2316
1906	2733
1907	2749
1908	2591
1909	3353
1910	3004
1911	3554
1912	3471
1913	4375
1914	3634
1915	3503
1916	4238
1917	4629
1918	4401
1919	4720
1920	3998
1921	3424
1922	4349
1923	2651
1924	2663
1925	2770
1926	2684
1927	2951
1928	2872
1929	5270
1930	3269
1931	3559
1932	3329
1933	3693
1934	4011
1935	4589
1936	3563
1937	4273
1938	4696
1939	5002
1940	5356
1941	6160
1942	5237
1943	4421
1944	4476
1945	4879
1946	5616
1947	6835
1948	6786
1949	8411
1950	7054
1951	6943
1952	8136
1953	7311
1954	7741
1955	8034
1956	8040
1957	8403
1958	9044
1959	10346
1960	11569
1961	12013
1962	12519
1963	13454
1964	14878
1965	14459
1966	14417
1967	14263
1968	15340
1969	15427
1970	15729
1971	17324
1972	19175
1973	19057
1974	20147
1975	22931
1976	27751
1977	28087
1978	28038
1979	28110
1980	28900
1981	26840
1982	21686
1983	22334
1984	23440
1985	21685
1986	21643
1987	20831
1988	20721
1989	21532
1990	21679
1991	19376
1992	19959
1993	18732
1994	17379
1995	18865
1996	17041
1997	16613
1998	16060
1999	26727
2000	13873
2001	10562
2002	10446
2003	10229
2004	9418
2005	7286
2006	6729
2007	6845
2008	5412
2009	6256
2010	4305
2011	2652
2012	1944
2013	1379
2014	822
2015	305
2016	211
