University of Michigan	263879
University of Illinois at Urbana–Champaign	146980
University of Minnesota	136903
The Ohio State University	85568
University of California, Northern Regional Library Facility	84134
University of California, Riverside	76749
Pennsylvania State University	67701
Northwestern University	58520
Technical Report Archive & Image Library	56063
Purdue University	47225
Cornell University	38393
University of California, San Diego	37514
University of Virginia	33685
University of California, Berkeley	29411
Harvard University	24051
University of California, Southern Regional Library Facility	23102
New York Public Library	13515
Michigan State University	13343
Columbia University	13225
University of California, Santa Cruz	10757
University of California, Los Angeles	10496
State University System of Florida	9788
Indiana University	9213
University of Wisconsin, Madison	7976
University of Chicago	7423
University of Texas at Austin	5357
Princeton University	4691
Library of Congress	4483
Texas A&M University	4300
University of Illinois at Urbana-Champaign	3834
University of California, Davis	2764
University of Iowa	1631
University of Massachusetts Amherst	743
University of Alberta	453
University of California, Irvine	364
University of Missouri, Columbia	342
The Getty Research Institute	244
University of North Carolina at Chapel Hill	222
	219
Yale University	186
Duke University	75
University of Connecticut	63
Boston College	60
University of Washington	55
North Carolina State University	39
Emory University	38
Tufts University	21
University of California, San Francisco	6
University of Delaware	2
University of Maryland, College Park	1
Universidad Complutense de Madrid	1
McGill University	1
