1789	19
1790	15
1791	15
1792	8
1793	17
1794	9
1795	8
1796	20
1797	14
1798	15
1799	22
1800	15
1801	14
1802	21
1803	22
1804	21
1805	23
1806	28
1807	28
1808	43
1809	23
1810	38
1811	22
1812	51
1813	40
1814	53
1815	53
1816	33
1817	33
1818	28
1819	92
1820	39
1821	30
1822	42
1823	49
1824	74
1825	64
1826	55
1827	37
1828	76
1829	50
1830	121
1831	58
1832	164
1833	69
1834	258
1835	83
1836	112
1837	319
1838	92
1839	68
1840	96
1841	126
1842	82
1843	62
1844	96
1845	148
1846	119
1847	111
1848	208
1849	108
1850	254
1851	193
1852	261
1853	258
1854	349
1855	212
1856	524
1857	277
1858	297
1859	268
1860	327
1861	488
1862	430
1863	394
1864	432
1865	393
1866	450
1867	404
1868	495
1869	497
1870	499
1871	556
1872	744
1873	661
1874	676
1875	491
1876	578
1877	607
1878	534
1879	635
1880	671
1881	618
1882	768
1883	854
1884	825
1885	966
1886	1157
1887	861
1888	955
1889	1032
1890	957
1891	1057
1892	1561
1893	2315
1894	3240
1895	1913
1896	1540
1897	1355
1898	1640
1899	1931
1900	2114
1901	3009
1902	2502
1903	1965
1904	1961
1905	2277
1906	2700
1907	2687
1908	2547
1909	3325
1910	2967
1911	3518
1912	3409
1913	4294
1914	3558
1915	3449
1916	4175
1917	4564
1918	4352
1919	4659
1920	3949
1921	3374
1922	4298
1923	2636
1924	2626
1925	2750
1926	2668
1927	2915
1928	2838
1929	5244
1930	3237
1931	3504
1932	3294
1933	3632
1934	3955
1935	4533
1936	3527
1937	4226
1938	4631
1939	4951
1940	5287
1941	6101
1942	5177
1943	4376
1944	4436
1945	4841
1946	5571
1947	6764
1948	6721
1949	8317
1950	6997
1951	6890
1952	7929
1953	7267
1954	7685
1955	7987
1956	7923
1957	8349
1958	8990
1959	10279
1960	11461
1961	11938
1962	12423
1963	13362
1964	14775
1965	14381
1966	14309
1967	14171
1968	15224
1969	15326
1970	15629
1971	17169
1972	19049
1973	18930
1974	19991
1975	22810
1976	27507
1977	27902
1978	27907
1979	27962
1980	28767
1981	26711
1982	21547
1983	22240
1984	23372
1985	21608
1986	21585
1987	20754
1988	20649
1989	21439
1990	21617
1991	19259
1992	19885
1993	18671
1994	17310
1995	18800
1996	16988
1997	16503
1998	16023
1999	26652
2000	13831
2001	10528
2002	10421
2003	10206
2004	9400
2005	7275
2006	6714
2007	6831
2008	5393
2009	6241
2010	4301
2011	2634
2012	1935
2013	1337
2014	818
2015	300
2016	209
