Congressional Record	405	4498	9.0
Statistical Abstract	83	181	45.86
United States Reports	158	159	99.37
Foreign Relations	1302	7041	18.49
Congressional Serial Set	13853	43163	32.09
Civil Rights Commission	881	3078	28.62
Economic Report Of The President	31	159	19.5
