Congressional Record	1771	7290	24.29
Statistical Abstract	173	199	86.93
United States Reports	757	1501	50.43
Foreign Relations	1072	4328	24.77
Congressional Serial Set	21427	53377	40.14
Civil Rights Commission	1023	2822	36.25
