1789	19
1790	15
1791	15
1792	8
1793	17
1794	9
1795	8
1796	20
1797	14
1798	15
1799	22
1800	15
1801	14
1802	21
1803	22
1804	21
1805	23
1806	28
1807	28
1808	43
1809	23
1810	38
1811	22
1812	51
1813	40
1814	53
1815	53
1816	33
1817	33
1818	28
1819	91
1820	39
1821	30
1822	42
1823	49
1824	74
1825	64
1826	55
1827	37
1828	76
1829	50
1830	121
1831	58
1832	163
1833	69
1834	258
1835	82
1836	112
1837	319
1838	92
1839	68
1840	96
1841	126
1842	82
1843	62
1844	96
1845	147
1846	117
1847	111
1848	206
1849	108
1850	253
1851	193
1852	261
1853	257
1854	349
1855	210
1856	523
1857	277
1858	297
1859	267
1860	327
1861	488
1862	430
1863	394
1864	432
1865	393
1866	450
1867	403
1868	495
1869	496
1870	497
1871	556
1872	744
1873	658
1874	676
1875	490
1876	577
1877	607
1878	534
1879	633
1880	671
1881	618
1882	768
1883	854
1884	824
1885	966
1886	1155
1887	860
1888	955
1889	1031
1890	955
1891	1065
1892	1560
1893	2306
1894	3239
1895	1912
1896	1545
1897	1350
1898	1637
1899	1930
1900	2111
1901	3008
1902	2499
1903	1964
1904	1960
1905	2274
1906	2694
1907	2665
1908	2542
1909	3325
1910	2964
1911	3516
1912	3405
1913	4290
1914	3554
1915	3439
1916	4172
1917	4559
1918	4344
1919	4652
1920	3944
1921	3369
1922	4291
1923	2617
1924	2615
1925	2743
1926	2659
1927	2901
1928	2824
1929	5217
1930	3219
1931	3487
1932	3269
1933	3623
1934	3942
1935	4482
1936	3516
1937	4207
1938	4606
1939	4928
1940	5261
1941	6065
1942	5156
1943	4356
1944	4413
1945	4825
1946	5524
1947	6669
1948	6687
1949	8287
1950	6963
1951	6849
1952	7870
1953	7237
1954	7640
1955	7918
1956	7881
1957	8305
1958	8931
1959	10216
1960	11411
1961	11881
1962	12332
1963	13295
1964	14704
1965	14319
1966	14239
1967	14061
1968	15120
1969	15247
1970	15552
1971	17034
1972	18967
1973	18852
1974	19925
1975	22725
1976	27237
1977	27774
1978	27665
1979	27833
1980	28655
1981	26598
1982	21416
1983	22148
1984	23298
1985	21511
1986	21486
1987	20650
1988	20561
1989	21350
1990	21535
1991	19175
1992	19821
1993	18631
1994	17283
1995	18754
1996	16963
1997	16454
1998	15982
1999	26498
2000	13808
2001	10505
2002	10399
2003	10195
2004	9389
2005	7246
2006	6700
2007	6816
2008	5379
2009	6226
2010	4284
2011	2628
2012	1930
2013	1332
2014	815
2015	83
2016	25
